Wall time,Step,Value
1607732317.089087,1000,-1242.823486328125
1607732317.707753,2000,-1216.4644775390625
1607732318.313761,3000,-1320.25
1607732318.9052958,4000,-1278.7862548828125
1607732319.504189,5000,-1242.6663818359375
1607732320.0937228,6000,-1260.4100341796875
1607732320.693044,7000,-1242.1494140625
1607732321.272983,8000,-1236.320068359375
1607732321.854569,9000,-1240.78466796875
1607732322.478976,10000,-1231.6767578125
1607732326.3724,11000,-1269.04345703125
1607732330.288789,12000,-1246.0352783203125
1607732334.189588,13000,-1245.7125244140625
1607732338.086122,14000,-1243.2860107421875
1607732341.9865139,15000,-1222.4168701171875
1607732345.999368,16000,-1238.1304931640625
1607732350.0715141,17000,-1228.865234375
1607732354.170725,18000,-1225.2843017578125
1607732358.312039,19000,-1222.966796875
1607732366.765662,20000,-1226.139404296875
1607732370.681938,21000,-1234.9967041015625
1607732374.578423,22000,-1235.3179931640625
1607732378.540176,23000,-1238.52783203125
1607732382.678118,24000,-1237.4324951171875
1607732386.82197,25000,-1238.8612060546875
1607732390.960563,26000,-1241.418701171875
1607732395.088307,27000,-1238.56201171875
1607732399.239269,28000,-1240.5894775390625
1607732403.362184,29000,-1241.326416015625
1607732407.401186,30000,-1241.9698486328125
1607732411.508615,31000,-1239.8035888671875
1607732415.631723,32000,-1245.8599853515625
1607732419.7558348,33000,-1251.074951171875
1607732423.926205,34000,-1254.6865234375
1607732428.04246,35000,-1256.51318359375
1607732432.150885,36000,-1252.4971923828125
1607732436.253503,37000,-1258.007080078125
1607732440.331713,38000,-1253.5606689453125
1607732444.454259,39000,-1256.40576171875
1607732452.319596,40000,-1257.1695556640625
1607732456.218678,41000,-1256.7667236328125
1607732460.113896,42000,-1261.543212890625
1607732464.129709,43000,-1260.4376220703125
1607732468.244848,44000,-1263.3037109375
1607732472.3112,45000,-1260.799560546875
1607732476.2917042,46000,-1260.3016357421875
1607732480.40114,47000,-1259.6239013671875
1607732484.500736,48000,-1262.3370361328125
1607732488.5918012,49000,-1270.010498046875
1607732492.680823,50000,-1264.625
1607732496.7594619,51000,-1265.07763671875
1607732500.855315,52000,-1263.7703857421875
1607732504.945479,53000,-1261.2132568359375
1607732509.094613,54000,-1262.7923583984375
1607732513.323809,55000,-1267.87890625
1607732517.5825012,56000,-1267.3140869140625
1607732522.323207,57000,-1266.44189453125
1607732526.657155,58000,-1268.3525390625
1607732530.854757,59000,-1268.309814453125
1607732538.872769,60000,-1266.8831787109375
1607732542.87261,61000,-1266.38232421875
1607732547.0181918,62000,-1267.77001953125
1607732551.162069,63000,-1264.074462890625
1607732555.282646,64000,-1265.715576171875
1607732559.404333,65000,-1263.9110107421875
1607732563.6767879,66000,-1263.43310546875
1607732567.92032,67000,-1258.40576171875
1607732572.617707,68000,-1256.5284423828125
1607732577.303139,69000,-1257.422607421875
1607732581.606529,70000,-1255.3079833984375
1607732585.885622,71000,-1252.4158935546875
1607732590.0696452,72000,-1252.7042236328125
1607732594.214404,73000,-1249.9669189453125
1607732598.3424451,74000,-1251.1240234375
1607732602.5030882,75000,-1250.7928466796875
1607732604.97204,76000,-1251.88330078125
1607732607.3693829,77000,-1254.2086181640625
1607732609.566454,78000,-1257.2188720703125
1607732611.706679,79000,-1259.8941650390625
1607732617.6664262,80000,-1261.6351318359375
1607732620.018504,81000,-1264.9791259765625
1607732622.5283399,82000,-1267.2576904296875
1607732624.904792,83000,-1268.3909912109375
1607732627.2758532,84000,-1269.0908203125
1607732629.642672,85000,-1269.1187744140625
1607732631.874733,86000,-1264.8282470703125
1607732634.1000268,87000,-1263.063232421875
1607732636.366996,88000,-1262.9488525390625
1607732638.6439092,89000,-1260.4925537109375
1607732640.916802,90000,-1254.6737060546875
1607732643.252806,91000,-1252.577880859375
1607732645.702591,92000,-1249.5401611328125
1607732647.9349601,93000,-1247.402587890625
1607732650.194935,94000,-1243.5076904296875
1607732652.42901,95000,-1239.5888671875
1607732654.67082,96000,-1235.7606201171875
1607732656.8988512,97000,-1232.1412353515625
1607732659.118741,98000,-1228.231689453125
1607732661.339699,99000,-1224.34619140625
1607732667.1731331,100000,-1220.978515625
1607732669.4374452,101000,-1217.6309814453125
1607732671.643737,102000,-1213.9102783203125
1607732673.914467,103000,-1209.487060546875
1607732676.3863711,104000,-1205.60595703125
