Wall time,Step,Value
1607730840.929873,1000,-1242.823486328125
1607730841.528608,2000,-1216.9942626953125
1607730842.1287959,3000,-1320.5369873046875
1607730842.72353,4000,-1278.9571533203125
1607730843.309925,5000,-1242.91748046875
1607730843.89572,6000,-1260.5130615234375
1607730844.501612,7000,-1242.23779296875
1607730845.088979,8000,-1236.6470947265625
1607730845.675838,9000,-1241.1573486328125
1607730846.265078,10000,-1232.1248779296875
1607730849.654361,11000,-1258.784423828125
1607730853.063633,12000,-1242.140625
1607730856.431423,13000,-1246.9124755859375
1607730859.822046,14000,-1232.553466796875
1607730863.200126,15000,-1220.8995361328125
1607730866.565114,16000,-1231.2254638671875
1607730869.98718,17000,-1220.818603515625
1607730873.535965,18000,-1212.331298828125
1607730877.092505,19000,-1204.55078125
1607730884.989324,20000,-1209.2459716796875
1607730888.390269,21000,-1222.6064453125
1607730891.76099,22000,-1218.9134521484375
1607730895.184769,23000,-1223.2227783203125
1607730898.702069,24000,-1222.139892578125
1607730902.243221,25000,-1218.0977783203125
1607730905.8204129,26000,-1223.0850830078125
1607730909.399783,27000,-1218.0643310546875
1607730912.942275,28000,-1216.5740966796875
1607730916.485708,29000,-1211.6278076171875
1607730920.03719,30000,-1209.59912109375
1607730923.641372,31000,-1207.1112060546875
1607730927.220059,32000,-1211.3248291015625
1607730930.807709,33000,-1215.6905517578125
1607730934.44249,34000,-1218.5106201171875
1607730938.019891,35000,-1219.4547119140625
1607730941.656533,36000,-1215.0784912109375
1607730945.290254,37000,-1216.135009765625
1607730948.8845341,38000,-1211.51513671875
1607730952.4577122,39000,-1213.59423828125
1607730959.765922,40000,-1215.242919921875
1607730963.159775,41000,-1212.314453125
1607730966.5807538,42000,-1213.473388671875
1607730970.1415591,43000,-1212.4559326171875
1607730973.68487,44000,-1214.9267578125
1607730977.2422771,45000,-1213.947509765625
1607730980.796913,46000,-1213.5244140625
1607730984.348614,47000,-1212.1536865234375
1607730987.8949602,48000,-1213.703369140625
1607730991.4538088,49000,-1219.1573486328125
