Wall time,Step,Value
1607722695.364546,140000,-1016.2139282226562
1607722697.508993,141000,-1011.3093872070312
1607722699.61702,142000,-1006.905517578125
1607722701.7384908,143000,-1003.5206909179688
1607722703.866792,144000,-998.155029296875
1607722705.990614,145000,-992.81982421875
1607722708.117329,146000,-987.2111206054688
1607722710.2408671,147000,-981.8594360351562
1607722712.35815,148000,-977.1012573242188
1607722714.498754,149000,-975.171875
1607722716.593515,150000,-975.1671752929688
1607722718.755884,151000,-975.7479858398438
1607722720.873143,152000,-977.1932373046875
1607722723.048804,153000,-978.6821899414062
1607722725.182945,154000,-980.5423583984375
1607722727.30037,155000,-982.6267700195312
1607722729.432816,156000,-986.0208129882812
1607722731.574014,157000,-987.2423706054688
1607722733.703983,158000,-989.8082275390625
1607722735.831383,159000,-991.4454345703125
1607722741.535876,160000,-991.451416015625
1607722743.690618,161000,-994.355224609375
1607722745.8282292,162000,-995.4255981445312
1607722747.9487412,163000,-993.7095336914062
1607722750.133833,164000,-990.2644653320312
1607722752.3006349,165000,-987.6544799804688
1607722754.4870222,166000,-985.6508178710938
1607722756.634154,167000,-984.390869140625
1607722758.781854,168000,-980.027099609375
1607722760.9036548,169000,-976.6458740234375
1607722763.026859,170000,-972.8114624023438
1607722765.159851,171000,-969.3719482421875
1607722767.2740421,172000,-968.518798828125
1607722769.5195892,173000,-965.84033203125
1607722771.675686,174000,-963.7350463867188
1607722773.8121479,175000,-961.3663330078125
1607722776.023102,176000,-959.2881469726562
1607722778.1696482,177000,-956.3501586914062
1607722780.307758,178000,-953.9417114257812
1607722782.5165498,179000,-951.1375122070312
1607722788.364853,180000,-948.1089477539062
1607722790.550687,181000,-947.646484375
1607722792.7151859,182000,-944.5159912109375
1607722794.928478,183000,-943.3757934570312
1607722797.1177769,184000,-941.1835327148438
1607722799.2697349,185000,-942.5039672851562
1607722801.498431,186000,-941.9813232421875
1607722803.6167,187000,-940.80322265625
1607722805.8027048,188000,-941.0990600585938
1607722807.9471612,189000,-940.5545654296875
1607722810.110868,190000,-939.38818359375
1607722812.381658,191000,-936.4837646484375
1607722814.586336,192000,-935.0537109375
1607722816.969423,193000,-935.2285766601562
1607722819.365024,194000,-934.2526245117188
1607722821.719307,195000,-933.4840087890625
1607722824.101559,196000,-934.1532592773438
1607722826.272309,197000,-933.6671752929688
1607722828.396649,198000,-931.9004516601562
1607722830.556156,199000,-930.396728515625
1607722836.39384,200000,-928.0152587890625
1607722838.5387409,201000,-925.5856323242188
1607722840.6809611,202000,-924.51708984375
1607722842.881175,203000,-922.0530395507812
1607722845.022835,204000,-920.1204223632812
1607722847.1350641,205000,-916.7222900390625
1607722849.255049,206000,-913.8279418945312
1607722851.418226,207000,-912.165771484375
1607722853.63979,208000,-908.8618774414062
1607722856.0259242,209000,-905.84033203125
1607722858.280203,210000,-903.447265625
1607722860.4375548,211000,-900.6058349609375
1607722862.565706,212000,-897.4186401367188
1607722864.8401659,213000,-894.4569702148438
1607722867.086215,214000,-892.5328369140625
1607722869.212286,215000,-890.599853515625
1607722871.398606,216000,-888.0091552734375
1607722873.631142,217000,-887.2169799804688
1607722875.8779001,218000,-886.3241577148438
1607722878.146053,219000,-883.0819091796875
1607722884.528071,220000,-881.2612915039062
1607722886.8535738,221000,-880.04052734375
1607722889.3053398,222000,-880.7852783203125
1607722891.7609978,223000,-879.369140625
1607722894.123563,224000,-879.3363647460938
1607722896.600194,225000,-880.4147338867188
1607722899.0399969,226000,-880.4349365234375
1607722901.3296971,227000,-878.2421875
1607722903.637194,228000,-876.03271484375
1607722905.889465,229000,-873.4973754882812
1607722908.22728,230000,-872.837646484375
1607722910.5086458,231000,-870.2731323242188
1607722912.996253,232000,-867.5885009765625
1607722915.3399959,233000,-865.2484741210938
1607722917.7583418,234000,-863.354736328125
1607722920.1331708,235000,-861.3912963867188
1607722922.517364,236000,-859.4310913085938
1607722924.679564,237000,-858.3504028320312
1607722926.8416908,238000,-856.9500122070312
1607722929.010864,239000,-856.2072143554688
1607722934.917482,240000,-853.3716430664062
1607722937.138747,241000,-850.6715087890625
1607722939.284788,242000,-849.3519897460938
1607722941.4655318,243000,-846.9899291992188
1607722943.601554,244000,-845.2359008789062
1607722945.73163,245000,-843.4346923828125
1607722947.8700092,246000,-842.7112426757812
1607722950.014797,247000,-841.789794921875
1607722952.1920571,248000,-840.5433349609375
1607722954.322061,249000,-839.0684204101562
1607722956.496483,250000,-836.225830078125
1607722958.609458,251000,-835.0448608398438
1607722960.7447438,252000,-834.0233154296875
1607722962.981823,253000,-833.6069946289062
1607722965.117558,254000,-832.2101440429688
1607722967.259359,255000,-830.7184448242188
1607722969.36949,256000,-829.3076171875
1607722971.497826,257000,-828.8576049804688
1607722973.6481228,258000,-827.608154296875
1607722975.7581701,259000,-826.9913330078125
1607722981.5333152,260000,-826.00439453125
1607722983.6754618,261000,-824.786376953125
1607722985.825019,262000,-824.0980224609375
1607722987.985271,263000,-822.1448364257812
1607722990.131264,264000,-820.7433471679688
1607722992.32379,265000,-818.7213134765625
1607722994.484447,266000,-816.7271728515625
1607722996.6021829,267000,-815.85400390625
1607722998.730165,268000,-815.496826171875
1607723000.863372,269000,-815.0123901367188
1607723003.0098088,270000,-814.7967529296875
1607723005.15813,271000,-813.9801025390625
1607723007.324775,272000,-814.2981567382812
1607723009.440974,273000,-812.896728515625
1607723011.608245,274000,-812.4572143554688
1607723013.745891,275000,-811.3768920898438
1607723016.016663,276000,-809.73095703125
1607723018.1906571,277000,-809.4240112304688
1607723020.368924,278000,-807.48974609375
1607723022.609086,279000,-805.7743530273438
1607723028.448213,280000,-804.4288330078125
1607723030.587946,281000,-804.06298828125
1607723032.750962,282000,-803.2297973632812
1607723034.878606,283000,-801.2936401367188
1607723036.993736,284000,-799.630126953125
1607723039.1544268,285000,-797.9636840820312
1607723041.3181272,286000,-796.1454467773438
1607723043.4706402,287000,-794.5113525390625
1607723045.610634,288000,-792.7203369140625
1607723047.7636192,289000,-791.4517211914062
1607723049.91193,290000,-791.1644897460938
1607723052.0711622,291000,-789.671142578125
1607723054.2486,292000,-788.3770751953125
1607723056.3766599,293000,-787.8851318359375
1607723058.520179,294000,-787.5084228515625
1607723060.6422222,295000,-786.7647705078125
1607723062.763264,296000,-785.9615478515625
1607723064.906044,297000,-786.279541015625
1607723067.0242682,298000,-786.0662841796875
1607723069.176407,299000,-783.698486328125
