Wall time,Step,Value
1607668040.5457878,1000,86.47551727294922
1607668043.406903,2000,119.72528839111328
1607668046.407593,3000,132.97250366210938
1607668050.200893,4000,131.7177734375
1607668053.299948,5000,129.49069213867188
1607668056.072049,6000,130.69656372070312
1607668059.6258812,7000,126.62877655029297
1607668062.687117,8000,128.1604461669922
1607668066.869897,9000,125.99598693847656
1607668070.6361148,10000,123.11844635009766
1607668075.794049,11000,129.6235809326172
1607668081.140169,12000,127.3340835571289
1607668086.386274,13000,123.25827026367188
1607668091.552864,14000,121.25116729736328
1607668096.808372,15000,119.61599731445312
1607668101.953414,16000,117.2637939453125
1607668107.734238,17000,115.71064758300781
1607668113.504648,18000,114.60679626464844
1607668119.226432,19000,113.25694274902344
1607668125.0002508,20000,112.4089584350586
1607668130.863432,21000,111.32758331298828
1607668136.624296,22000,109.58417510986328
1607668152.065911,23000,108.93790435791016
1607668164.9767082,24000,107.80042266845703
1607668177.9464698,25000,107.2188720703125
1607668191.298254,26000,107.22454071044922
1607668203.42903,27000,106.49137115478516
1607668216.627569,28000,106.52803039550781
1607668228.6214259,29000,106.21125793457031
1607668241.300767,30000,107.29708099365234
1607668255.4030159,31000,107.2698974609375
1607668267.055904,32000,106.83909606933594
1607668277.721039,33000,107.18931579589844
1607668289.747183,34000,106.62510681152344
1607668300.8504791,35000,106.52346801757812
1607668311.8812108,36000,106.38117980957031
1607668321.258244,37000,106.34201049804688
1607668330.9787982,38000,105.62049102783203
1607668342.1416829,39000,104.93017578125
1607668350.411495,40000,104.39395141601562
1607668358.64212,41000,104.72516632080078
1607668370.599835,42000,104.6175308227539
1607668378.125837,43000,104.53267669677734
1607668389.2639868,44000,104.14891052246094
1607668398.828227,45000,103.71439361572266
1607668406.038631,46000,104.04904174804688
1607668416.40316,47000,103.54493713378906
1607668423.538197,48000,103.09529876708984
1607668433.541624,49000,102.74173736572266
1607668442.073088,50000,102.88062286376953
1607668451.969321,51000,102.76947021484375
1607668462.7236822,52000,102.58238983154297
1607668472.671461,53000,102.54192352294922
1607668480.574924,54000,102.64189910888672
1607668488.29154,55000,102.29769897460938
1607668495.998913,56000,101.95487213134766
1607668504.319146,57000,101.60018157958984
1607668511.868612,58000,101.55134582519531
1607668520.572929,59000,101.91039276123047
1607668530.0474508,60000,101.64112091064453
1607668539.483872,61000,101.64552307128906
1607668547.5159721,62000,101.34834289550781
1607668556.839575,63000,101.03165435791016
1607668566.45547,64000,100.93873596191406
1607668576.479201,65000,101.20397186279297
1607668585.338232,66000,101.00481414794922
1607668593.7701051,67000,101.746337890625
1607668602.558432,68000,101.48292541503906
1607668610.583276,69000,101.10623931884766
1607668621.32583,70000,100.90489196777344
1607668628.025759,71000,100.89461517333984
1607668635.2732952,72000,100.67987823486328
1607668641.683276,73000,100.48204803466797
1607668648.825127,74000,100.55525207519531
1607668655.573905,75000,101.1050033569336
1607668664.557458,76000,100.96852111816406
1607668668.5936372,77000,104.3041000366211
1607668672.2979178,78000,108.88027954101562
1607668676.425282,79000,151.53143310546875
1607668680.480427,80000,191.6101531982422
1607668684.29987,81000,222.57730102539062
1607668688.058669,82000,248.211669921875
1607668691.9395132,83000,264.36798095703125
1607668698.018753,84000,270.3542175292969
1607668703.918287,85000,271.1201477050781
1607668712.131959,86000,273.19342041015625
1607668716.40575,87000,280.8258972167969
1607668720.519092,88000,285.5494689941406
1607668724.1757262,89000,290.3794250488281
1607668727.7795,90000,294.1669921875
1607668731.358021,91000,295.40447998046875
1607668734.897483,92000,296.3702697753906
1607668738.470009,93000,298.4297790527344
1607668742.016126,94000,299.6311950683594
1607668746.14708,95000,301.0281982421875
1607668750.565959,96000,301.03179931640625
1607668755.915414,97000,301.3348388671875
1607668760.189302,98000,300.8335266113281
1607668765.9375381,99000,300.3731994628906
1607668770.2139258,100000,300.018310546875
1607668773.963425,101000,300.78564453125
1607668777.874948,102000,300.7400207519531
1607668781.932986,103000,300.92694091796875
1607668785.713417,104000,300.75927734375
1607668789.698636,105000,300.5538330078125
1607668793.3742552,106000,300.3126525878906
1607668804.002112,107000,300.21173095703125
1607668810.098876,108000,300.0182189941406
1607668814.717949,109000,299.4542236328125
1607668819.596978,110000,298.8990478515625
1607668824.6742668,111000,298.3671875
1607668829.611137,112000,297.87677001953125
1607668833.361192,113000,297.34112548828125
1607668836.5297222,114000,295.7088623046875
1607668839.683601,115000,294.2151184082031
1607668842.8351328,116000,292.5549621582031
1607668845.985794,117000,290.83349609375
1607668849.1565728,118000,289.3615417480469
1607668852.41766,119000,287.8800964355469
1607668855.612834,120000,286.5518798828125
1607668858.9185128,121000,285.4240417480469
1607668862.391008,122000,284.3542175292969
1607668865.74494,123000,283.3667297363281
1607668869.205193,124000,282.5302734375
1607668872.7752168,125000,281.7735290527344
1607668877.2994502,126000,281.23284912109375
1607668883.150569,127000,280.8402099609375
1607668887.617337,128000,280.38665771484375
1607668892.7243469,129000,280.008056640625
1607668897.253522,130000,279.41058349609375
1607668902.474732,131000,279.05072021484375
1607668906.869332,132000,278.7721862792969
1607668912.210767,133000,277.970703125
1607668917.5985658,134000,277.58612060546875
1607668922.060607,135000,277.0049743652344
1607668926.191663,136000,276.3483581542969
1607668930.1987572,137000,275.6238098144531
1607668934.059197,138000,274.9495544433594
1607668938.376829,139000,274.32891845703125
1607668942.348177,140000,273.6128234863281
1607668946.442079,141000,273.18475341796875
1607668950.298808,142000,272.4094543457031
1607668954.185739,143000,271.9730224609375
1607668957.870615,144000,271.4390563964844
1607668961.489028,145000,270.8652038574219
1607668965.0556312,146000,270.2983703613281
1607668968.4957912,147000,269.8251647949219
1607668971.963337,148000,269.0740966796875
1607668975.244404,149000,268.28857421875
1607668978.639408,150000,267.5010986328125
1607668981.967673,151000,266.6900329589844
1607668985.331372,152000,266.1175231933594
1607668988.729296,153000,265.5552673339844
1607668992.1171148,154000,264.8542175292969
1607668995.490168,155000,264.28448486328125
1607668998.873919,156000,263.7274475097656
1607669002.2452428,157000,263.24102783203125
1607669005.542391,158000,262.63226318359375
1607669008.861588,159000,262.05206298828125
1607669012.148134,160000,261.5752868652344
1607669015.869368,161000,261.0225524902344
1607669019.916426,162000,260.52978515625
1607669029.845689,163000,260.08428955078125
1607669035.035734,164000,259.7884216308594
1607669039.7293901,165000,259.4263000488281
1607669045.897824,166000,259.2182312011719
1607669053.6871538,167000,259.0756530761719
1607669065.669178,168000,258.9249267578125
1607669079.6344378,169000,258.7626953125
1607669088.432713,170000,258.6836853027344
1607669095.901422,171000,258.61962890625
1607669102.0239968,172000,258.25103759765625
1607669108.545005,173000,258.10467529296875
1607669113.7105641,174000,257.89947509765625
1607669121.637533,175000,257.6490783691406
1607669133.4362361,176000,257.4167175292969
1607669139.427458,177000,257.2673645019531
1607669145.9774752,178000,257.094482421875
1607669156.157644,179000,256.9503479003906
1607669161.7236228,180000,256.7508239746094
1607669167.248397,181000,256.4200134277344
1607669173.745635,182000,256.269775390625
1607669178.471157,183000,255.9424591064453
1607669185.8129458,184000,255.65040588378906
1607669198.075946,185000,255.60800170898438
1607669212.6972291,186000,255.56590270996094
1607669223.2379708,187000,255.51544189453125
1607669238.4756842,188000,255.4676055908203
1607669248.9797199,189000,255.4158935546875
1607669257.73808,190000,255.3722381591797
1607669272.7021,191000,255.3502197265625
1607669285.381237,192000,255.3129119873047
1607669297.163478,193000,255.25958251953125
1607669310.0992799,194000,255.11166381835938
1607669322.942855,195000,255.1018524169922
1607669336.937097,196000,255.05831909179688
1607669350.347778,197000,254.98626708984375
1607669365.109518,198000,254.93739318847656
1607669374.757938,199000,254.84690856933594
1607669388.441141,200000,254.80276489257812
1607669397.9350579,201000,254.74954223632812
1607669410.768538,202000,254.67715454101562
1607669418.782617,203000,254.6133575439453
1607669424.513085,204000,254.55955505371094
1607669431.341462,205000,254.40997314453125
1607669438.4640481,206000,254.43017578125
1607669446.608876,207000,254.29537963867188
1607669456.934728,208000,254.3603057861328
1607669466.819156,209000,254.35501098632812
1607669478.018547,210000,254.2381591796875
1607669486.1422532,211000,254.2162628173828
1607669495.8641438,212000,254.205078125
1607669504.2722828,213000,254.18728637695312
1607669511.368675,214000,254.09410095214844
1607669522.0117152,215000,253.98593139648438
1607669532.952585,216000,253.87435913085938
1607669548.5570838,217000,253.89837646484375
1607669561.269727,218000,253.8522491455078
1607669573.409611,219000,253.88272094726562
1607669585.594218,220000,253.8938751220703
1607669598.692854,221000,253.85499572753906
1607669611.925228,222000,253.81979370117188
1607669626.2161868,223000,253.79547119140625
1607669643.0490859,224000,253.75198364257812
1607669654.938091,225000,253.70762634277344
1607669668.061215,226000,253.66702270507812
1607669679.284725,227000,253.6278839111328
1607669686.898226,228000,253.42982482910156
1607669693.998398,229000,253.24313354492188
1607669703.807353,230000,253.06600952148438
1607669711.766648,231000,252.895751953125
1607669717.970944,232000,252.74179077148438
1607669723.572551,233000,252.54339599609375
1607669729.486882,234000,252.3924102783203
1607669736.827167,235000,252.20867919921875
1607669743.202998,236000,252.02772521972656
1607669752.076959,237000,251.855224609375
1607669760.844008,238000,251.69479370117188
1607669772.394183,239000,251.595703125
1607669785.561171,240000,251.5877685546875
1607669797.9764009,241000,251.52381896972656
1607669811.311918,242000,251.53634643554688
1607669825.471591,243000,251.49398803710938
1607669839.1488938,244000,251.3614959716797
1607669851.140883,245000,251.2622833251953
1607669860.992687,246000,251.1455841064453
1607669873.0475268,247000,250.96170043945312
1607669883.554174,248000,250.87644958496094
1607669897.622755,249000,250.77651977539062
1607669910.1551201,250000,250.74180603027344
1607669922.882907,251000,250.6250762939453
1607669935.498168,252000,250.62493896484375
1607669947.922132,253000,250.57766723632812
1607669958.872187,254000,250.53477478027344
1607669971.396759,255000,250.4747314453125
1607669981.4610188,256000,250.4315185546875
1607669991.264467,257000,250.42572021484375
1607670000.9100401,258000,250.36874389648438
1607670009.520386,259000,250.311767578125
1607670017.7575521,260000,250.32948303222656
1607670023.908792,261000,250.14584350585938
1607670035.228674,262000,249.99122619628906
1607670044.870878,263000,249.8892822265625
1607670054.7542882,264000,249.7037353515625
1607670061.512723,265000,249.6644744873047
1607670067.225308,266000,249.4164276123047
1607670077.151569,267000,249.1506805419922
1607670084.753081,268000,249.3148956298828
1607670096.9030578,269000,249.2582550048828
1607670112.033041,270000,249.207763671875
1607670125.932856,271000,249.16046142578125
1607670138.049879,272000,249.10337829589844
1607670149.536254,273000,249.0408935546875
1607670161.234009,274000,248.98675537109375
1607670169.688982,275000,248.93655395507812
1607670175.636461,276000,248.88299560546875
1607670181.824457,277000,248.65231323242188
1607670186.935552,278000,248.3272247314453
1607670192.8291662,279000,248.1528778076172
1607670196.9413052,280000,247.89315795898438
1607670207.590973,281000,247.8575439453125
1607670216.5129678,282000,247.79959106445312
1607670227.05284,283000,247.934326171875
1607670238.673589,284000,247.97869873046875
1607670247.2215612,285000,248.20423889160156
1607670258.263819,286000,248.09725952148438
1607670268.301461,287000,248.1091766357422
1607670275.803562,288000,247.98333740234375
1607670285.521652,289000,248.06390380859375
1607670294.1771252,290000,248.00137329101562
1607670306.130184,291000,247.93820190429688
1607670314.51132,292000,247.86337280273438
1607670322.4544709,293000,247.78236389160156
1607670329.425247,294000,247.71243286132812
1607670338.371535,295000,247.8282012939453
1607670347.483134,296000,247.7576141357422
1607670358.292953,297000,247.72361755371094
1607670367.618251,298000,247.6614227294922
1607670379.5772102,299000,247.45748901367188
